,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,file,a,a_tag,X,X_tag,b,b_tag,grammar category,grammar cateogry,encode_cat,encode_pos,name,encoded_case,aXb,pred_y,pred_y_aXb,fold,correctaXb,correctaX+Xb,pred_y_aX_Xb,aXb_correct,aX_Xb_correct
3141,7531,148233,148233,51310,Aran/020218.xml,broke,v,he,pro:sub,decided,v,unknown,NOUN,6,84,Aran,2,broke_decided,2,0,0,0,0,2,0,1
4239,11320,342312,342312,57196,Nina/020406.xml,that,comp,his,det:poss,home,n,unknown,DET,4,25,Nina,0,that_home,0,2,0,0,0,0,0,1
1649,3227,128232,128232,31309,Aran/020121.xml,round,adv,your,det:poss,seesaw,n,unknown,DET,4,25,Aran,0,round_seesaw,0,0,0,0,0,0,1,1
5177,14889,87297,87297,87297,Anne/020504.xml,is,cop,he,pro:sub,tickling,part,unknown,NOUN,6,84,Anne,2,is_tickling,2,2,0,1,0,2,1,1
2888,6727,248900,248900,41173,Eve/020300a.xml,eat,v,them,pro:obj,with,prep,unknown,NOUN,6,72,Eve,1,eat_with,1,0,0,0,0,1,0,1
896,1480,258627,258627,5317,Naomi/011003.xml,tell,v,him,pro:obj,not,neg,unknown,NOUN,6,72,Naomi,1,tell_not,1,0,0,0,0,1,0,1
3851,9802,89103,89103,89103,Anne/020525.xml,S,/s,she,pro:sub,trots,v,unknown,NOUN,6,84,Anne,2,S_trots,2,0,0,1,0,2,0,1
5461,16040,200171,200171,103248,Aran/020524.xml,where's,pro:int~cop,he,pro:sub,taking,part,unknown,NOUN,6,84,Aran,2,where's_taking,2,0,0,0,0,2,0,1
6552,20945,277371,277371,24061,Naomi/020125.xml,because,conj,I,pro:sub,E,/e,unknown,NOUN,6,84,Naomi,2,because_E,2,0,0,0,0,2,0,1
4028,10477,280173,280173,26863,Naomi/020317.xml,spanking,part,me,pro:obj,E,/e,unknown,NOUN,6,72,Naomi,1,spanking_E,1,0,0,0,0,1,0,1
2059,4338,51279,51279,51279,Anne/020210.xml,when,conj,we,pro:sub,put,v,unknown,NOUN,6,84,Anne,2,when_put,2,0,0,0,0,2,0,1
5533,16389,364280,364280,79164,Nina/020526.xml,should,mod,I,pro:sub,get,v,unknown,NOUN,6,84,Nina,2,should_get,2,0,0,0,0,2,0,1
408,560,340764,340764,55648,Nina/020328.xml,do,mod,they,pro:sub,like,v,unknown,NOUN,6,84,Nina,2,do_like,2,2,0,0,0,2,1,1
6164,19180,87485,87485,87485,Anne/020504.xml,call,v,them,pro:obj,udders,n,unknown,NOUN,6,72,Anne,1,call_udders,1,0,0,0,0,1,0,1
4985,14128,92924,92924,92924,Anne/020525.xml,got,v,their,det:poss,seatbelts,n,unknown,DET,4,25,Anne,0,got_seatbelts,0,0,0,0,0,0,1,1
3139,7529,335285,335285,50169,Nina/020318.xml,do,mod,they,pro:sub,drink,v,unknown,NOUN,6,84,Nina,2,do_drink,2,0,0,0,0,2,0,1
6883,22555,132405,132405,35482,Aran/020128.xml,lift,v,them,pro:obj,E,/e,unknown,NOUN,6,72,Aran,1,lift_E,1,0,0,0,0,1,0,1
261,319,85725,85725,85725,Anne/020504.xml,and,coord,we,pro:sub,cut,v,unknown,NOUN,6,84,Anne,2,and_cut,2,0,0,0,0,2,0,1
6819,22234,331916,331916,46800,Nina/020314.xml,broken,part,her,det:poss,legs,n,unknown,DET,4,25,Nina,0,broken_legs,0,0,0,0,0,0,1,1
1468,2772,183067,183067,86144,Aran/020427.xml,oh,co,I,pro:sub,should,mod,unknown,NOUN,6,84,Aran,2,oh_should,2,0,0,0,0,2,0,1
4884,13753,51555,51555,51555,Anne/020210.xml,did,mod,she,pro:sub,spill,v,unknown,NOUN,6,84,Anne,2,did_spill,2,0,0,0,0,2,0,1
6128,19040,357495,357495,72379,Nina/020524.xml,did,mod,they,pro:sub,wake,v,unknown,NOUN,6,84,Nina,2,did_wake,2,0,0,0,0,2,0,1
3247,7882,251903,251903,44176,Eve/020300b.xml,eat,v,its,det:poss,supper,n,unknown,DET,4,25,Eve,0,eat_supper,0,0,0,0,0,0,1,1
3275,7971,38733,38733,38733,Anne/020108.xml,now,adv,she,pro:sub,says,v,unknown,NOUN,6,84,Anne,2,now_says,2,0,0,0,0,2,0,1
986,1670,276920,276920,23610,Naomi/020117.xml,yes,co,I,pro:sub,see,v,unknown,NOUN,6,84,Naomi,2,yes_see,2,0,0,0,0,2,0,1
3802,9645,219090,219090,11363,Eve/010800.xml,S,/s,we,pro:sub,already,adv,unknown,NOUN,6,84,Eve,2,S_already,2,0,0,0,0,2,0,1
5500,16241,384722,384722,10169,Peter/020522.xml,Aimee,n:prop,she,pro:sub,just,adv,unknown,NOUN,6,84,Peter,2,Aimee_just,2,0,0,0,0,2,0,1
5973,18291,184181,184181,87258,Aran/020427.xml,S,/s,my,det:poss,favorite's,n~cop,unknown,DET,4,25,Aran,0,S_favorite's,0,0,0,0,0,2,1,0
850,1394,330013,330013,44897,Nina/020305.xml,S,/s,he,pro:sub,looked,v,unknown,NOUN,6,84,Nina,2,S_looked,2,0,0,0,0,2,0,1
4950,13984,102902,102902,5979,Aran/011126.xml,sacks,n,he,pro:sub,puts,v,unknown,NOUN,6,84,Aran,2,sacks_puts,2,0,0,0,0,2,0,1
6496,20660,211421,211421,3694,Eve/010600b.xml,drinking,part,your,det:poss,milk,n,unknown,DET,4,25,Eve,0,drinking_milk,0,0,0,0,0,0,1,1
352,456,309607,309607,24491,Nina/020122.xml,look,v,I,pro:sub,made,v,unknown,NOUN,6,84,Nina,2,look_made,2,0,0,2,0,2,0,1
6495,20646,115807,115807,18884,Aran/020009.xml,that,comp,your,det:poss,dog,n,unknown,DET,4,25,Aran,0,that_dog,0,0,0,0,0,0,1,1
4376,11801,298677,298677,13561,Nina/020010.xml,mixed,v,them,pro:obj,up,adv,unknown,NOUN,6,72,Nina,1,mixed_up,1,2,0,0,0,1,0,1
5993,18395,29248,29248,29248,Anne/020017.xml,get,v,them,pro:obj,muddled,v,unknown,NOUN,6,72,Anne,1,get_muddled,1,0,0,0,0,0,0,0
5521,16341,311685,311685,26569,Nina/020129.xml,have,v,your,det:poss,hand,n,unknown,DET,4,25,Nina,0,have_hand,0,0,0,0,0,0,1,1
4178,11102,88313,88313,88313,Anne/020504.xml,perhaps,co,they,pro:sub,only,adv,unknown,NOUN,6,84,Anne,2,perhaps_only,2,0,0,0,0,2,0,1
4519,12386,157315,157315,60392,Aran/020302.xml,nurse,v,him,pro:obj,better,adj,unknown,NOUN,6,72,Aran,1,nurse_better,1,0,0,0,0,2,0,0
2636,6008,77137,77137,77137,Anne/020412.xml,where,pro:rel,they,pro:sub,live,v,unknown,NOUN,6,84,Anne,2,where_live,2,0,0,0,0,2,0,1
5675,16985,217670,217670,9943,Eve/010800.xml,it's,pro:per~cop,your,det:poss,banjo,n,unknown,DET,4,25,Eve,0,it's_banjo,0,0,0,0,0,0,1,1
4885,13756,376934,376934,2381,Peter/020100.xml,whichever,pro:int,he,pro:sub,wants,v,unknown,NOUN,6,84,Peter,2,whichever_wants,2,0,0,0,0,2,0,1
6662,21427,378223,378223,3670,Peter/020213.xml,that's,pro:dem~cop,her,det:poss,lunch,n,unknown,DET,4,25,Peter,0,that's_lunch,0,0,0,0,0,0,1,1
4645,12890,322790,322790,37674,Nina/020228.xml,cover,v,me,pro:obj,very,adv,unknown,NOUN,6,72,Nina,1,cover_very,0,0,0,0,1,1,0,1
4074,10724,96143,96143,96143,Anne/020604.xml,under,adv,your,det:poss,trousers,n,unknown,DET,4,25,Anne,0,under_trousers,0,0,0,0,0,0,1,1
4966,14049,354134,354134,69018,Nina/020524.xml,is,cop,he,pro:sub,ticklish,adj,unknown,NOUN,6,84,Nina,2,is_ticklish,2,0,0,0,0,2,0,1
2769,6420,142747,142747,45824,Aran/020211.xml,on,prep,his,det:poss,holidays,n,unknown,DET,4,25,Aran,0,on_holidays,0,0,0,0,0,0,1,1
5868,17836,48754,48754,48754,Anne/020122.xml,lost,part,his,det:poss,teddy,n,unknown,DET,4,25,Anne,0,lost_teddy,0,0,0,0,0,0,1,1
3989,10310,56496,56496,56496,Anne/020212.xml,S,/s,we,pro:sub,oughta,mod~inf,unknown,NOUN,6,84,Anne,2,S_oughta,2,2,0,0,0,2,1,1
3053,7250,127846,127846,30923,Aran/020121.xml,there's,pro:exist~cop,your,det:poss,ball,n,unknown,DET,4,25,Aran,0,there's_ball,0,0,0,-1,0,0,1,1
6305,19805,248882,248882,41155,Eve/020300a.xml,eat,v,your,det:poss,noodle,n,unknown,DET,4,25,Eve,0,eat_noodle,0,0,0,0,0,0,1,1
3827,9742,243163,243163,35436,Eve/020200a.xml,watch,v,your,det:poss,foot,n,unknown,DET,4,25,Eve,0,watch_foot,0,0,0,-1,0,0,1,1
4513,12363,216361,216361,8634,Eve/010700b.xml,S,/s,your,det:poss,nut,n,unknown,DET,4,25,Eve,0,S_nut,2,0,0,0,-2,0,1,1
3108,7435,157985,157985,61062,Aran/020302.xml,is,cop,he,pro:sub,after,prep,unknown,NOUN,6,84,Aran,2,is_after,2,0,0,1,0,2,0,1
949,1605,253900,253900,590,Naomi/010616.xml,down,prep,your,det:poss,dancing,part,unknown,DET,4,25,Naomi,0,down_dancing,0,0,0,0,0,2,1,0
1635,3194,327134,327134,42018,Nina/020305.xml,bring,v,your,det:poss,animals,n,unknown,DET,4,25,Nina,0,bring_animals,0,2,0,0,0,0,0,1
7318,24714,154287,154287,57364,Aran/020225.xml,with,prep,her,det:poss,yes,co,unknown,DET,4,25,Aran,0,with_yes,1,0,0,0,-1,1,1,0
2912,6834,20252,20252,20252,Anne/011120.xml,perhaps,co,we,pro:sub,need,v,unknown,NOUN,6,84,Anne,2,perhaps_need,2,0,0,0,0,2,0,1
608,928,89678,89678,89678,Anne/020525.xml,there,n,I,pro:sub,think,v,unknown,NOUN,6,84,Anne,2,there_think,2,0,0,0,0,2,0,1
110,122,43255,43255,43255,Anne/020120.xml,what're,pro:int~cop,they,pro:sub,called,v,unknown,NOUN,6,84,Anne,2,what're_called,2,0,0,2,0,2,0,1
6953,22865,383326,383326,8773,Peter/020503.xml,wash,v,your,det:poss,bike,n,unknown,DET,4,25,Peter,0,wash_bike,0,2,0,0,0,0,0,1
3395,8363,285049,285049,31739,Naomi/020605.xml,put,v,your,det:poss,diapers,n,unknown,DET,4,25,Naomi,0,put_diapers,0,0,0,0,0,0,1,1
4083,10751,228186,228186,20459,Eve/011000b.xml,what's,pro:int~cop,he,pro:sub,writing,part,unknown,NOUN,6,84,Eve,2,what's_writing,2,0,0,0,0,2,0,1
7012,23106,379264,379264,4711,Peter/020324.xml,ride,v,she,pro:sub,doesn't,mod~neg,unknown,NOUN,6,84,Peter,2,ride_doesn't,2,0,0,0,0,2,0,1
716,1120,142006,142006,45083,Aran/020211.xml,when,conj,we,pro:sub,were,cop,unknown,NOUN,6,84,Aran,2,when_were,2,2,0,0,0,2,1,1
4860,13676,86776,86776,86776,Anne/020504.xml,got,part,her,pro:obj,to,inf,unknown,NOUN,6,72,Anne,1,got_to,1,0,0,0,0,1,0,1
5590,16643,373121,373121,88005,Nina/020528.xml,beside,prep,her,pro:obj,and,coord,unknown,NOUN,6,72,Nina,1,beside_and,1,0,0,0,0,1,0,1
2780,6454,75690,75690,75690,Anne/020412.xml,that's,pro:dem~cop,his,det:poss,web,n,unknown,DET,4,25,Anne,0,that's_web,0,0,0,0,0,0,1,1
5909,17985,253570,253570,260,Naomi/010229.xml,finish,v,your,det:poss,popsicle,n,unknown,DET,4,25,Naomi,0,finish_popsicle,0,0,0,0,0,0,1,1
296,375,4993,4993,4993,Anne/011021.xml,S,/s,I,pro:sub,wonder,v,unknown,NOUN,6,84,Anne,2,S_wonder,2,0,0,0,0,2,0,1
430,601,213111,213111,5384,Eve/010600b.xml,was,cop,your,det:poss,toy,n,unknown,DET,4,25,Eve,0,was_toy,0,0,0,0,0,2,1,0
1513,2882,35510,35510,35510,Anne/020108.xml,having,part,your,det:poss,dinner,n,unknown,DET,4,25,Anne,0,having_dinner,0,0,0,0,0,0,1,1
4161,11059,69774,69774,69774,Anne/020328.xml,aren't,aux~neg,they,pro:sub,to,inf,unknown,NOUN,6,84,Anne,2,aren't_to,2,0,0,0,0,2,0,1
3892,9974,263992,263992,10682,Naomi/011018.xml,eat,v,your,det:poss,apple,n,unknown,DET,4,25,Naomi,0,eat_apple,0,0,0,0,0,0,1,1
6501,20670,291386,291386,6270,Nina/011129.xml,is,cop,your,det:poss,monkey,n,unknown,DET,4,25,Nina,0,is_monkey,0,0,0,0,0,0,1,1
3605,8995,281235,281235,27925,Naomi/020404.xml,on,prep,your,det:poss,swing,n,unknown,DET,4,25,Naomi,0,on_swing,0,0,0,0,0,0,1,1
291,368,263459,263459,10149,Naomi/011018.xml,see,v,him,pro:obj,E,/e,unknown,NOUN,6,72,Naomi,1,see_E,1,0,0,0,0,1,0,1
751,1182,289241,289241,4125,Nina/011124.xml,to,prep,your,det:poss,feet,n,unknown,DET,4,25,Nina,0,to_feet,0,0,0,0,0,0,1,1
5522,16344,60042,60042,60042,Anne/020301.xml,it,pro:per,my,det:poss,happy_birthday,co,unknown,DET,4,25,Anne,0,it_happy_birthday,0,2,0,0,0,0,0,1
1411,2633,260382,260382,7072,Naomi/011010b.xml,tell,v,me,pro:obj,who,pro:int,unknown,NOUN,6,72,Naomi,1,tell_who,1,0,0,0,0,1,0,1
1162,2045,14275,14275,14275,Anne/011106.xml,until,conj,I,pro:sub,find,v,unknown,NOUN,6,84,Anne,2,until_find,2,0,0,2,0,2,0,1
6074,18791,328320,328320,43204,Nina/020305.xml,okay,adj,I,pro:sub,won't,mod~neg,unknown,NOUN,6,84,Nina,2,okay_won't,2,0,0,0,0,2,0,1
5612,16722,48805,48805,48805,Anne/020122.xml,picked,v,their,det:poss,apples,n,unknown,DET,4,25,Anne,0,picked_apples,0,0,0,0,0,1,1,0
4502,12334,311703,311703,26587,Nina/020129.xml,inside,prep,your,det:poss,sock,n,unknown,DET,4,25,Nina,0,inside_sock,0,0,0,0,0,0,1,1
4520,12393,128470,128470,31547,Aran/020121.xml,here's,pro:exist~cop,your,det:poss,dump,n,unknown,DET,4,25,Aran,0,here's_dump,0,0,0,0,0,0,1,1
4862,13687,224604,224604,16877,Eve/010900c.xml,yeah,co,I,pro:sub,think,v,unknown,NOUN,6,84,Eve,2,yeah_think,2,0,0,0,0,2,0,1
615,944,276996,276996,23686,Naomi/020117.xml,put,v,them,pro:obj,up,adv,unknown,NOUN,6,72,Naomi,1,put_up,1,0,0,0,0,1,0,1
6011,18498,168350,168350,71427,Aran/020413.xml,what,pro:int,we,pro:sub,could,mod,unknown,NOUN,6,84,Aran,2,what_could,2,0,0,0,0,2,0,1
2916,6851,233153,233153,25426,Eve/020000a.xml,take,v,your,det:poss,Easter,n:prop,unknown,DET,4,25,Eve,0,take_Easter,0,0,0,0,0,0,1,1
6888,22570,117162,117162,20239,Aran/020009.xml,hit,v,your,det:poss,digger,n,unknown,DET,4,25,Aran,0,hit_digger,0,0,0,0,0,0,1,1
4108,10864,221985,221985,14258,Eve/010900b.xml,is,cop,your,det:poss,penny,n,unknown,DET,4,25,Eve,0,is_penny,0,0,0,0,0,0,1,1
2789,6482,336437,336437,51321,Nina/020318.xml,read,v,me,pro:obj,this,det:dem,unknown,NOUN,6,72,Nina,1,read_this,1,0,0,0,0,1,0,1
3453,8529,328434,328434,43318,Nina/020305.xml,on,prep,my,det:poss,big,adj,unknown,DET,4,25,Nina,0,on_big,0,0,0,0,0,0,1,1
6510,20726,29951,29951,29951,Anne/020017.xml,stroke,v,his,det:poss,head,n,unknown,DET,4,25,Anne,0,stroke_head,0,0,0,0,0,0,1,1
3503,8696,76755,76755,76755,Anne/020412.xml,move,v,her,det:poss,dress,n,unknown,DET,4,25,Anne,0,move_dress,0,0,0,0,0,0,1,1
1950,4050,128594,128594,31671,Aran/020121.xml,that,comp,your,det:poss,doggy,adj,unknown,DET,4,25,Aran,0,that_doggy,0,0,0,0,0,0,1,1
6338,19950,198566,198566,101643,Aran/020524.xml,peck,v,your,det:poss,bottom,n,unknown,DET,4,25,Aran,0,peck_bottom,0,0,0,0,0,0,1,1
3161,7597,387715,387715,13162,Peter/020616.xml,on,prep,your,det:poss,sneaker,n,unknown,DET,4,25,Peter,0,on_sneaker,0,0,0,0,0,0,1,1
5694,17072,370623,370623,85507,Nina/020528.xml,let,v,us,pro:obj,borrow,v,unknown,NOUN,6,72,Nina,1,let_borrow,1,2,0,1,0,1,0,1
2370,5210,95663,95663,95663,Anne/020604.xml,because,conj,we,pro:sub,don't,mod~neg,unknown,NOUN,6,84,Anne,2,because_don't,2,0,0,0,0,2,0,1
390,528,349918,349918,64802,Nina/020426.xml,S,/s,he,pro:sub,has,v,unknown,NOUN,6,84,Nina,2,S_has,2,0,0,0,0,2,0,1
639,994,37041,37041,37041,Anne/020108.xml,for,prep,me,pro:obj,then,adv:tem,unknown,NOUN,6,72,Anne,1,for_then,1,0,0,0,0,1,0,1
2380,5235,50196,50196,50196,Anne/020210.xml,are,cop,they,pro:sub,waking,part,unknown,NOUN,6,84,Anne,2,are_waking,2,0,0,0,0,2,0,1
6525,20775,190343,190343,93420,Aran/020503.xml,with,prep,your,det:poss,egg,n,unknown,DET,4,25,Aran,0,with_egg,0,0,0,0,0,0,1,1
2448,5463,2205,2205,2205,Anne/011007.xml,cover,v,her,det:poss,up,adv,unknown,DET,4,25,Anne,0,cover_up,0,2,0,0,0,1,0,0
1066,1844,244226,244226,36499,Eve/020200a.xml,drink,v,your,det:poss,head,n,unknown,DET,4,25,Eve,0,drink_head,0,0,0,0,0,0,1,1
28,30,168295,168295,71372,Aran/020413.xml,get,v,her,det:poss,luggage,n,unknown,DET,4,25,Aran,0,get_luggage,0,2,0,0,0,0,0,1
7206,24116,248797,248797,41070,Eve/020300a.xml,that's,pro:dem~cop,your,det:poss,mug,n,unknown,DET,4,25,Eve,0,that's_mug,0,2,0,0,0,0,0,1
4340,11684,149548,149548,52625,Aran/020225.xml,for,prep,your,det:poss,teddys,n,unknown,DET,4,25,Aran,0,for_teddys,0,0,0,0,0,0,1,1
344,445,120600,120600,23677,Aran/020100.xml,where's,pro:rel~cop,your,det:poss,red,n,unknown,DET,4,25,Aran,0,where's_red,0,0,0,0,0,0,1,1
4555,12564,338872,338872,53756,Nina/020328.xml,how,pro:int,I,pro:sub,love,v,unknown,NOUN,6,84,Nina,2,how_love,2,0,0,0,0,2,0,1
1753,3538,344015,344015,58899,Nina/020406.xml,not,neg,your,det:poss,finger,n,unknown,DET,4,25,Nina,0,not_finger,0,0,0,0,0,0,1,1
7105,23569,227753,227753,20026,Eve/011000a.xml,if,conj,I,pro:sub,may,mod,unknown,NOUN,6,84,Eve,2,if_may,2,0,0,0,0,2,0,1
3463,8562,115469,115469,18546,Aran/020009.xml,got,v,your,det:poss,nose,n,unknown,DET,4,25,Aran,0,got_nose,0,0,0,0,0,0,1,1
3133,7511,188782,188782,91859,Aran/020503.xml,taking,part,them,pro:obj,all,post,unknown,NOUN,6,72,Aran,1,taking_all,1,0,0,0,0,1,0,1
6165,19181,162827,162827,65904,Aran/020315.xml,and,coord,we,pro:sub,got,v,unknown,NOUN,6,84,Aran,2,and_got,2,0,0,0,0,2,0,1
135,154,350540,350540,65424,Nina/020426.xml,there's,pro:exist~cop,your,det:poss,band-aid,n,unknown,DET,4,25,Nina,0,there's_band-aid,0,0,0,0,0,0,1,1
866,1427,317803,317803,32687,Nina/020206.xml,here,n,I,pro:sub,bet,v,unknown,NOUN,6,84,Nina,2,here_bet,2,2,0,2,0,2,1,1
2572,5790,386615,386615,12062,Peter/020616.xml,did,mod,we,pro:sub,Pete,n:prop,unknown,NOUN,6,84,Peter,2,did_Pete,2,0,0,0,0,2,0,1
628,972,67842,67842,67842,Anne/020328.xml,give,v,them,pro:obj,Duplo,n:prop,unknown,NOUN,6,72,Anne,1,give_Duplo,1,0,0,1,0,0,0,0
5915,18008,376196,376196,1643,Peter/020010.xml,them,pro:obj,your,det:poss,hippopotamus,n,unknown,DET,4,25,Peter,0,them_hippopotamus,0,0,0,0,0,0,1,1
4167,11076,82424,82424,82424,Anne/020502.xml,is,cop,she,pro:sub,stroking,part,unknown,NOUN,6,84,Anne,2,is_stroking,2,0,0,0,0,2,0,1
661,1027,37200,37200,37200,Anne/020108.xml,yes,co,he,pro:sub,wants,v,unknown,NOUN,6,84,Anne,2,yes_wants,2,0,0,0,0,2,0,1
7106,23573,331796,331796,46680,Nina/020314.xml,fit,v,him,pro:obj,inside,adv,unknown,NOUN,6,72,Nina,1,fit_inside,1,0,0,0,0,1,0,1
6351,20010,215419,215419,7692,Eve/010700b.xml,think,v,his,det:poss,shoe's,n~aux,unknown,DET,4,25,Eve,0,think_shoe's,0,0,0,0,0,0,1,1
7163,23858,319292,319292,34176,Nina/020212.xml,keep,v,her,det:poss,head,n,unknown,DET,4,25,Nina,0,keep_head,0,0,0,0,0,0,1,1
2456,5484,277098,277098,23788,Naomi/020117.xml,tickling,part,your,det:poss,toe,n,unknown,DET,4,25,Naomi,0,tickling_toe,0,0,0,0,0,0,1,1
3980,10281,17448,17448,17448,Anne/011118.xml,cut,v,your,det:poss,hair,n,unknown,DET,4,25,Anne,0,cut_hair,0,2,0,0,0,0,0,1
405,557,28239,28239,28239,Anne/020017.xml,put,v,them,pro:obj,back,adv,unknown,NOUN,6,72,Anne,1,put_back,1,0,0,0,0,1,0,1
4712,13139,364986,364986,79870,Nina/020526.xml,on,prep,my,det:poss,eye,n,unknown,DET,4,25,Nina,0,on_eye,0,0,0,0,0,0,1,1
5223,15076,375696,375696,1143,Peter/011011.xml,know,v,your,det:poss,last,adj,unknown,DET,4,25,Peter,0,know_last,0,2,0,0,0,1,0,0
4260,11400,174085,174085,77162,Aran/020420.xml,haven't,aux~neg,we,pro:sub,first,adv,unknown,NOUN,6,84,Aran,2,haven't_first,2,0,0,0,0,2,0,1
2188,4688,83037,83037,83037,Anne/020502.xml,got,part,my,det:poss,baby,n,unknown,DET,4,25,Anne,0,got_baby,0,0,0,0,0,0,1,1
1477,2787,368710,368710,83594,Nina/020527.xml,helping,part,me,pro:obj,E,/e,unknown,NOUN,6,72,Nina,1,helping_E,1,0,0,0,0,1,0,1
5656,16895,294768,294768,9652,Nina/020003.xml,where's,pro:int~cop,your,det:poss,hat,n,unknown,DET,4,25,Nina,0,where's_hat,0,0,0,0,0,0,1,1
4221,11258,267741,267741,14431,Naomi/011111.xml,there's,pro:exist~cop,your,det:poss,desk,n,unknown,DET,4,25,Naomi,0,there's_desk,0,0,0,0,0,0,1,1
4127,10926,34005,34005,34005,Anne/020029.xml,of,prep,me,pro:obj,and,coord,unknown,NOUN,6,72,Anne,1,of_and,1,0,0,0,0,1,0,1
2984,7049,324811,324811,39695,Nina/020228.xml,bumped,v,your,det:poss,head,n,unknown,DET,4,25,Nina,0,bumped_head,0,0,0,0,0,0,1,1
367,484,112206,112206,15283,Aran/020002.xml,shall,mod,we,pro:sub,open,v,unknown,NOUN,6,84,Aran,2,shall_open,2,0,0,0,0,2,0,1
869,1431,325732,325732,40616,Nina/020228.xml,does,v,he,pro:sub,do,v,unknown,NOUN,6,84,Nina,2,does_do,2,0,0,0,0,2,0,1
1911,3951,140757,140757,43834,Aran/020211.xml,so,conj,he,pro:sub,doesn't,mod~neg,unknown,NOUN,6,84,Aran,2,so_doesn't,2,0,0,0,0,2,0,1
4062,10670,308764,308764,23648,Nina/020122.xml,one,pro:indef,we,pro:sub,have,v,unknown,NOUN,6,84,Nina,2,one_have,2,0,0,0,0,2,0,1
2897,6779,47179,47179,47179,Anne/020122.xml,out_of,prep,my,det:poss,eyes,n,unknown,DET,4,25,Anne,0,out_of_eyes,0,0,0,0,0,0,1,1
3759,9501,371929,371929,86813,Nina/020528.xml,dry,v,her,pro:obj,and,coord,unknown,NOUN,6,72,Nina,1,dry_and,1,0,0,0,0,1,0,1
435,608,87926,87926,87926,Anne/020504.xml,think,v,they,pro:sub,probably,adv,unknown,NOUN,6,84,Anne,2,think_probably,2,0,0,2,0,2,0,1
