,Unnamed: 0,file,a,a_tag,X,X_tag,b,b_tag,grammar cateogry,encode_cat,encode_pos,name,encoded_case,aXb,pred_y_aX_Xb,pred_y_aXb,fold,aXb_correct,aX_Xb_correct
3920,4634,Naomi/011130.xml,want,v,me,pro:obj,to,inf,NOUN,6,72,Naomi,1,want_to,1,1,0,1,1
22970,6212,Eve/010900b.xml,eat,v,your,det:poss,cheese,n,DET,4,25,Eve,0,eat_cheese,0,0,0,1,1
5128,19842,Anne/020015.xml,shall,mod,we,pro:sub,do,v,NOUN,6,84,Anne,2,shall_do,2,2,0,1,1
14151,5511,Nina/020527.xml,is,cop,he,pro:sub,hanging,part,NOUN,6,84,Nina,2,is_hanging,2,2,0,1,1
10415,3624,Aran/020524.xml,near,prep,your,det:poss,hand,n,DET,4,25,Aran,0,near_hand,0,0,0,1,1
5619,17025,Peter/020118.xml,well,co,they,pro:sub,have,v,NOUN,6,84,Peter,2,well_have,2,2,0,1,1
11765,2987,Peter/020100.xml,S,/s,we,pro:sub,were,aux,NOUN,6,84,Peter,2,S_were,2,2,0,1,1
23067,5728,Naomi/011003.xml,tell,v,him,pro:obj,not,neg,NOUN,6,72,Naomi,1,tell_not,1,1,0,1,1
24662,22520,Nina/020314.xml,S,/s,I,pro:sub,don't,mod~neg,NOUN,6,84,Nina,2,S_don't,2,2,0,1,1
13522,22841,Aran/020218.xml,take,v,your,det:poss,bus,n,DET,4,25,Aran,0,take_bus,1,2,0,0,0
4280,17186,Anne/020504.xml,finished,v,your,det:poss,juice,n,DET,4,25,Anne,0,finished_juice,0,0,0,1,1
12672,9806,Nina/020318.xml,maybe,adv,we,pro:sub,have,v,NOUN,6,84,Nina,2,maybe_have,2,2,0,1,1
2592,8269,Eve/010600b.xml,S,/s,your,det:poss,drink,n,DET,4,25,Eve,0,S_drink,2,2,0,0,0
19960,16753,Anne/011104.xml,get,v,my,det:poss,toes,n,DET,4,25,Anne,0,get_toes,0,0,0,1,1
18265,12996,Anne/011118.xml,when,conj,we,pro:sub,go,v,NOUN,6,84,Anne,2,when_go,2,2,0,1,1
18908,20904,Eve/020100a.xml,watch,v,them,pro:obj,E,/e,NOUN,6,72,Eve,1,watch_E,1,1,0,1,1
17486,5527,Aran/020128.xml,S,/s,we,pro:sub,don't,mod~neg,NOUN,6,84,Aran,2,S_don't,2,2,0,1,1
17358,22355,Aran/020315.xml,got,v,their,det:poss,golden,adj,DET,4,25,Aran,0,got_golden,0,2,0,0,1
19468,21215,Nina/020524.xml,S,/s,I,pro:sub,think,v,NOUN,6,84,Nina,2,S_think,2,2,0,1,1
2627,9278,Nina/011129.xml,no,co,we,pro:sub,bought,v,NOUN,6,84,Nina,2,no_bought,2,2,0,1,1
16371,10199,Aran/011112.xml,yes,co,we,pro:sub,went,v,NOUN,6,84,Aran,2,yes_went,2,2,0,1,1
11685,9353,Eve/020200a.xml,are,cop,her,det:poss,feet,n,DET,4,25,Eve,0,are_feet,0,0,0,1,1
23879,12735,Aran/020420.xml,well,co,I,pro:sub,haven't,aux~neg,NOUN,6,84,Aran,2,well_haven't,2,2,0,1,1
6903,13419,Nina/020418.xml,want,v,me,pro:obj,to,inf,NOUN,6,72,Nina,1,want_to,1,1,0,1,1
12415,16826,Nina/020328.xml,are,cop,we,pro:sub,going,part,NOUN,6,84,Nina,2,are_going,2,2,0,1,1
11789,21350,Aran/020413.xml,S,/s,we,pro:sub,didn't,mod~neg,NOUN,6,84,Aran,2,S_didn't,2,2,0,1,1
23768,12630,Eve/020200a.xml,that's,pro:dem~cop,your,det:poss,thumb,n,DET,4,25,Eve,0,that's_thumb,0,0,0,1,1
22095,12020,Aran/020524.xml,doesn't,mod~neg,he,pro:sub,E,/e,NOUN,6,84,Aran,2,doesn't_E,2,2,0,1,1
24782,22941,Aran/020610.xml,or,coord,they,pro:sub,drink,n,NOUN,6,84,Aran,2,or_drink,0,0,0,0,0
21244,16604,Eve/010600a.xml,that's,pro:dem~cop,your,det:poss,letter,n,DET,4,25,Eve,0,that's_letter,0,0,0,1,1
147,2179,Nina/020212.xml,S,/s,I,pro:sub,think,v,NOUN,6,84,Nina,2,S_think,2,2,0,1,1
17145,7698,Anne/020412.xml,in,prep,your,det:poss,car,n,DET,4,25,Anne,0,in_car,0,0,0,1,1
10710,1437,Aran/020225.xml,is,cop,he,pro:sub,going,part,NOUN,6,84,Aran,2,is_going,2,2,0,1,1
2028,19570,Nina/020412.xml,put,v,your,det:poss,other,qn,DET,4,25,Nina,0,put_other,0,0,0,1,1
5159,15960,Anne/011021.xml,S,/s,he,pro:sub,says,v,NOUN,6,84,Anne,2,S_says,2,2,0,1,1
960,21402,Aran/020610.xml,S,/s,he,pro:sub,was,aux,NOUN,6,84,Aran,2,S_was,2,2,0,1,1
13962,16123,Nina/020228.xml,S,/s,he,pro:sub,was,cop,NOUN,6,84,Nina,2,S_was,2,2,0,1,1
2367,24866,Anne/020525.xml,S,/s,I,pro:sub,don't,mod~neg,NOUN,6,84,Anne,2,S_don't,2,2,0,1,1
18206,6373,Nina/020318.xml,brush,v,your,det:poss,hair,n,DET,4,25,Nina,0,brush_hair,0,0,0,1,1
14591,22011,Aran/020302.xml,aren't,aux~neg,they,pro:sub,E,/e,NOUN,6,84,Aran,2,aren't_E,2,2,0,1,1
7633,14196,Aran/020225.xml,if,conj,we,pro:sub,can,mod,NOUN,6,84,Aran,2,if_can,2,2,0,1,1
23748,17842,Anne/020414.xml,crossing,part,your,det:poss,legs,n,DET,4,25,Anne,0,crossing_legs,0,2,0,0,1
17647,12604,Anne/011120.xml,that's,pro:dem~cop,his,det:poss,nose,n,DET,4,25,Anne,0,that's_nose,0,0,0,1,1
9241,5381,Aran/020128.xml,weren't,cop~neg,we,pro:sub,E,/e,NOUN,6,84,Aran,2,weren't_E,2,2,0,1,1
1154,8332,Anne/020502.xml,pat,v,her,pro:obj,on,prep,NOUN,6,72,Anne,1,pat_on,1,0,0,0,1
9338,2427,Nina/020528.xml,kissing,part,them,pro:obj,E,/e,NOUN,6,72,Nina,1,kissing_E,1,1,0,1,1
7825,1727,Aran/020420.xml,S,/s,they,pro:sub,both,post,NOUN,6,84,Aran,2,S_both,2,2,0,1,1
12693,19799,Nina/020314.xml,where's,pro:int~cop,her,det:poss,plastic,adj,DET,4,25,Nina,0,where's_plastic,0,0,0,1,1
16639,23925,Nina/011124.xml,want,v,me,pro:obj,to,inf,NOUN,6,72,Nina,1,want_to,1,1,0,1,1
7595,20151,Naomi/020018.xml,on,prep,me,pro:obj,E,/e,NOUN,6,72,Naomi,1,on_E,1,1,0,1,1
11035,24100,Nina/020525.xml,was,cop,he,pro:sub,like,co,NOUN,6,84,Nina,2,was_like,2,2,0,1,1
16553,16126,Nina/020328.xml,do,mod,we,pro:sub,need,v,NOUN,6,84,Nina,2,do_need,2,2,0,1,1
20677,6383,Aran/020009.xml,there,adv,we,pro:sub,are,cop,NOUN,6,84,Aran,2,there_are,2,2,0,1,1
12308,12362,Naomi/020505.xml,tell,v,me,pro:obj,what's,pro:int~aux,NOUN,6,72,Naomi,1,tell_what's,1,1,0,1,1
10015,2480,Anne/011106.xml,shall,mod,we,pro:sub,take,v,NOUN,6,84,Anne,2,shall_take,2,2,0,1,1
16367,17802,Nina/020528.xml,cook,v,them,pro:obj,for,prep,NOUN,6,72,Nina,1,cook_for,1,2,0,0,1
9312,6509,Peter/010908.xml,think,v,she,pro:sub,wants,v,NOUN,6,84,Peter,2,think_wants,2,2,0,1,1
20655,21135,Aran/011126.xml,all,qn,your,det:poss,passengers,n,DET,4,25,Aran,0,all_passengers,0,0,0,1,1
3626,12930,Anne/020120.xml,help,v,me,pro:obj,make,v,NOUN,6,72,Anne,1,help_make,1,1,0,1,1
19374,8869,Nina/020528.xml,S,/s,I,pro:sub,don't,mod~neg,NOUN,6,84,Nina,2,S_don't,2,2,0,1,1
24623,18762,Nina/020305.xml,think,v,I,pro:sub,see,v,NOUN,6,84,Nina,2,think_see,2,2,0,1,1
5037,20229,Eve/010600b.xml,yeah,co,I,pro:sub,spilled,v,NOUN,6,84,Eve,2,yeah_spilled,2,2,0,1,1
2370,21028,Naomi/011129.xml,show,v,me,pro:obj,which,pro:int,NOUN,6,72,Naomi,1,show_which,1,1,0,1,1
19636,21282,Aran/020503.xml,shall,mod,we,pro:sub,try,v,NOUN,6,84,Aran,2,shall_try,2,2,0,1,1
2454,6052,Nina/020528.xml,did,mod,she,pro:sub,fall,v,NOUN,6,84,Nina,2,did_fall,2,2,0,1,1
8363,3585,Eve/010900c.xml,for,prep,your,det:poss,box,n,DET,4,25,Eve,0,for_box,0,2,0,0,1
23976,19335,Anne/020029.xml,did,mod,we,pro:sub,call,v,NOUN,6,84,Anne,2,did_call,2,2,0,1,1
17840,23004,Naomi/011103.xml,show,v,me,pro:obj,E,/e,NOUN,6,72,Naomi,1,show_E,1,1,0,1,1
22849,18926,Aran/020225.xml,hasn't,aux~neg,he,pro:sub,E,/e,NOUN,6,84,Aran,2,hasn't_E,2,2,0,1,1
4278,14433,Nina/020526.xml,S,/s,I,pro:sub,don't,mod~neg,NOUN,6,84,Nina,2,S_don't,2,2,0,1,1
22119,17455,Anne/020412.xml,S,/s,he,pro:sub,doesn't,mod~neg,NOUN,6,84,Anne,2,S_doesn't,2,2,0,1,1
18299,16038,Aran/020503.xml,of,prep,your,det:poss,chair,n,DET,4,25,Aran,0,of_chair,0,0,0,1,1
17892,4688,Nina/020024.xml,yes,co,I,pro:sub,see,v,NOUN,6,84,Nina,2,yes_see,2,2,0,1,1
22386,24626,Nina/020426.xml,does,v,she,pro:sub,have,v,NOUN,6,84,Nina,2,does_have,2,2,0,1,1
8968,6393,Nina/011129.xml,biting,part,his,det:poss,bottom,n,DET,4,25,Nina,0,biting_bottom,0,0,0,1,1
23528,4999,Nina/020328.xml,now,adv,he,pro:sub,opened,v,NOUN,6,84,Nina,2,now_opened,2,2,0,1,1
1608,9551,Anne/020525.xml,shall,mod,we,pro:sub,find,v,NOUN,6,84,Anne,2,shall_find,2,2,0,1,1
11945,22092,Anne/020108.xml,see,v,him,pro:obj,E,/e,NOUN,6,72,Anne,1,see_E,1,1,0,1,1
8525,14708,Nina/020524.xml,that,comp,your,det:poss,belly,n,DET,4,25,Nina,0,that_belly,0,0,0,1,1
672,13111,Anne/020017.xml,get,v,my,det:poss,toes,n,DET,4,25,Anne,0,get_toes,0,0,0,1,1
3750,4877,Eve/020100b.xml,S,/s,I,pro:sub,know,v,NOUN,6,84,Eve,2,S_know,2,2,0,1,1
5628,5383,Nina/020024.xml,okay,adj,I,pro:sub,can,mod,NOUN,6,84,Nina,2,okay_can,2,0,0,0,1
9754,10957,Aran/020211.xml,is,cop,she,pro:sub,your,det:poss,NOUN,6,84,Aran,2,is_your,2,2,0,1,1
14611,14630,Nina/020426.xml,on,prep,your,det:poss,chair,n,DET,4,25,Nina,0,on_chair,0,0,0,1,1
6822,24395,Nina/020314.xml,S,/s,your,det:poss,mashing,part,DET,4,25,Nina,0,S_mashing,0,0,0,1,1
101,3467,Anne/020108.xml,is,cop,she,pro:sub,coming,part,NOUN,6,84,Anne,2,is_coming,2,2,0,1,1
13405,5982,Nina/020406.xml,S,/s,I,pro:sub,don't,mod~neg,NOUN,6,84,Nina,2,S_don't,2,2,0,1,1
21265,1215,Aran/020302.xml,on,prep,your,det:poss,hand,n,DET,4,25,Aran,0,on_hand,0,0,0,1,1
12694,16240,Nina/020212.xml,S,/s,I,pro:sub,see,v,NOUN,6,84,Nina,2,S_see,2,2,0,1,1
23088,4938,Anne/020604.xml,does,v,he,pro:sub,think,v,NOUN,6,84,Anne,2,does_think,2,2,0,1,1
15024,7225,Anne/020504.xml,can,mod,I,pro:sub,play,v,NOUN,6,84,Anne,2,can_play,2,2,0,1,1
20477,19612,Anne/020122.xml,got,part,them,pro:obj,on,prep,NOUN,6,72,Anne,1,got_on,1,1,0,1,1
24697,22311,Eve/020300a.xml,see,v,her,pro:obj,E,/e,NOUN,6,72,Eve,1,see_E,1,1,0,1,1
6374,11928,Aran/011112.xml,isn't,cop~neg,he,pro:sub,E,/e,NOUN,6,84,Aran,2,isn't_E,2,2,0,1,1
22827,11259,Anne/020015.xml,lock,v,your,det:poss,car,n,DET,4,25,Anne,0,lock_car,0,0,0,1,1
6247,9388,Eve/020100b.xml,want,v,her,det:poss,milk,n,DET,4,25,Eve,0,want_milk,0,2,0,0,1
20514,6612,Nina/011124.xml,S,/s,I,pro:sub,like,v,NOUN,6,84,Nina,2,S_like,2,2,0,1,1
19612,3147,Anne/020301.xml,S,/s,we,pro:sub,didn't,mod~neg,NOUN,6,84,Anne,2,S_didn't,2,2,0,1,1
11725,4736,Anne/020122.xml,shall,mod,I,pro:sub,do,v,NOUN,6,84,Anne,2,shall_do,2,2,0,1,1
4734,7306,Anne/020525.xml,that's,pro:dem~cop,their,det:poss,house,n,DET,4,25,Anne,0,that's_house,0,0,0,1,1
2310,15449,Anne/020412.xml,with,prep,them,pro:obj,E,/e,NOUN,6,72,Anne,1,with_E,1,1,0,1,1
125,8696,Eve/010900c.xml,did,mod,we,pro:sub,do,v,NOUN,6,84,Eve,2,did_do,2,2,0,1,1
12368,8484,Aran/020009.xml,does,v,he,pro:sub,E,/e,NOUN,6,84,Aran,2,does_E,2,2,0,1,1
23904,8049,Nina/020525.xml,did,mod,she,pro:sub,do,v,NOUN,6,84,Nina,2,did_do,2,2,0,1,1
2434,27,Naomi/020505.xml,can,mod,I,pro:sub,make,v,NOUN,6,84,Naomi,2,can_make,2,2,0,1,1
17688,8360,Nina/020314.xml,are,cop,they,pro:sub,going,part,NOUN,6,84,Nina,2,are_going,2,2,0,1,1
20223,9022,Anne/020412.xml,can,mod,I,pro:sub,have,v,NOUN,6,84,Anne,2,can_have,2,2,0,1,1
22369,22257,Aran/020610.xml,to,prep,him,pro:obj,and,coord,NOUN,6,72,Aran,1,to_and,1,1,0,1,1
7472,20507,Aran/020503.xml,let,v,me,pro:obj,have,v,NOUN,6,72,Aran,1,let_have,1,1,0,1,1
9706,15721,Aran/011126.xml,are,cop,we,pro:sub,today,adv:tem,NOUN,6,84,Aran,2,are_today,2,0,0,0,1
8320,16331,Naomi/010926.xml,put,v,your,det:poss,other,qn,DET,4,25,Naomi,0,put_other,0,0,0,1,1
10308,23608,Aran/020121.xml,want,v,him,pro:obj,to,inf,NOUN,6,72,Aran,1,want_to,1,1,0,1,1
736,1517,Aran/020420.xml,left,part,them,pro:obj,all,adv,NOUN,6,72,Aran,1,left_all,1,2,0,0,1
5106,17530,Aran/020225.xml,has,v,he,pro:sub,gone,part,NOUN,6,84,Aran,2,has_gone,2,2,0,1,1
11946,13445,Anne/011118.xml,shall,mod,we,pro:sub,put,v,NOUN,6,84,Anne,2,shall_put,2,2,0,1,1
11906,17994,Naomi/020505.xml,S,/s,she,pro:sub,cries,v,NOUN,6,84,Naomi,2,S_cries,2,2,0,1,1
23583,15871,Nina/020024.xml,S,/s,I,pro:sub,think,v,NOUN,6,84,Nina,2,S_think,2,2,0,1,1
1404,13235,Eve/020200b.xml,bet,v,I,pro:sub,will,mod,NOUN,6,84,Eve,2,bet_will,2,2,0,1,1
5663,12961,Eve/020200a.xml,but,conj,I,pro:sub,have,aux,NOUN,6,84,Eve,2,but_have,2,0,0,0,1
18585,24644,Anne/020328.xml,he's,pro:sub~cop,my,det:poss,favorite,n,DET,4,25,Anne,0,he's_favorite,0,0,0,1,1
16814,20472,Aran/020420.xml,S,/s,she,pro:sub,wants,v,NOUN,6,84,Aran,2,S_wants,2,2,0,1,1
892,15802,Aran/020211.xml,can't,mod~neg,we,pro:sub,E,/e,NOUN,6,84,Aran,2,can't_E,2,2,0,1,1
8054,16645,Nina/020328.xml,get,v,your,det:poss,arm,n,DET,4,25,Nina,0,get_arm,0,0,0,1,1
6506,8643,Anne/020120.xml,where's,pro:int~cop,she,pro:sub,gone,part,NOUN,6,84,Anne,2,where's_gone,2,2,0,1,1
7783,8359,Anne/020210.xml,S,/s,I,pro:sub,think,v,NOUN,6,84,Anne,2,S_think,2,2,0,1,1
23034,9149,Eve/011100a.xml,as_soon_as,conj,I,pro:sub,stir,v,NOUN,6,84,Eve,2,as_soon_as_stir,2,2,0,1,1
12790,4815,Nina/020527.xml,telling,part,him,pro:obj,E,/e,NOUN,6,72,Nina,1,telling_E,1,1,0,1,1
5801,24234,Aran/011112.xml,are,cop,her,det:poss,eyes,n,DET,4,25,Aran,0,are_eyes,0,0,0,1,1
7907,15886,Nina/020328.xml,but,conj,she,pro:sub,lets,v,NOUN,6,84,Nina,2,but_lets,2,2,0,1,1
22198,1399,Anne/011118.xml,in,adv,your,det:poss,car,n,DET,4,25,Anne,0,in_car,0,0,0,1,1
613,3444,Aran/020420.xml,that,adv,we,pro:sub,saw,v,NOUN,6,84,Aran,2,that_saw,2,2,0,1,1
4670,13486,Nina/020129.xml,on,prep,her,det:poss,hand,n,DET,4,25,Nina,0,on_hand,0,0,0,1,1
1081,22966,Eve/011000a.xml,eat,v,your,det:poss,lunch,n,DET,4,25,Eve,0,eat_lunch,0,0,0,1,1
21874,17662,Anne/011021.xml,shall,mod,we,pro:sub,draw,v,NOUN,6,84,Anne,2,shall_draw,2,2,0,1,1
22735,15276,Anne/020320.xml,of,prep,your,det:poss,people,n,DET,4,25,Anne,0,of_people,1,2,0,0,0
23134,15151,Aran/020610.xml,does,v,he,pro:sub,E,/e,NOUN,6,84,Aran,2,does_E,2,2,0,1,1
13614,17046,Anne/011118.xml,let,v,me,pro:obj,look,v,NOUN,6,72,Anne,1,let_look,1,1,0,1,1
5265,13804,Aran/020302.xml,want,v,him,pro:obj,E,/e,NOUN,6,72,Aran,1,want_E,1,1,0,1,1
23978,3387,Eve/020100a.xml,open,adj,your,det:poss,mouth,n,DET,4,25,Eve,0,open_mouth,0,0,0,1,1
19890,24641,Eve/010900c.xml,and,coord,I,pro:sub,E,/e,NOUN,6,84,Eve,2,and_E,2,2,0,1,1
14488,9924,Anne/020210.xml,like,v,me,pro:obj,to,inf,NOUN,6,72,Anne,1,like_to,1,1,0,1,1
15525,20408,Aran/020002.xml,didn't,mod~neg,he,pro:sub,E,/e,NOUN,6,84,Aran,2,didn't_E,2,2,0,1,1
13438,14937,Aran/011126.xml,what's,pro:int~cop,she,pro:sub,doing,part,NOUN,6,84,Aran,2,what's_doing,2,2,0,1,1
19629,16724,Aran/020524.xml,S,/s,he,pro:sub,wants,v,NOUN,6,84,Aran,2,S_wants,2,2,0,1,1
15081,9477,Nina/020024.xml,is,cop,he,pro:sub,holding,n:gerund,NOUN,6,84,Nina,2,is_holding,2,2,0,1,1
21128,11653,Nina/020524.xml,that,pro:rel,we,pro:sub,played,v,NOUN,6,84,Nina,2,that_played,2,2,0,1,1
16965,844,Aran/020121.xml,have,v,your,det:poss,Wellingtons,n:prop,DET,4,25,Aran,0,have_Wellingtons,1,0,0,1,0
15797,9858,Anne/020604.xml,because,conj,we,pro:sub,don't,mod~neg,NOUN,6,84,Anne,2,because_don't,2,2,0,1,1
14928,5379,Anne/020212.xml,in,prep,her,det:poss,pouch,n,DET,4,25,Anne,0,in_pouch,0,0,0,1,1
21845,17084,Aran/020413.xml,there's,pro:exist~cop,your,det:poss,train,n,DET,4,25,Aran,0,there's_train,0,2,0,0,1
55,24836,Aran/020128.xml,willn't,mod~neg,we,pro:sub,E,/e,NOUN,6,84,Aran,2,willn't_E,2,2,0,1,1
21520,2097,Nina/020305.xml,in,prep,his,det:poss,hand,n,DET,4,25,Nina,0,in_hand,0,0,0,1,1
23669,24499,Aran/020413.xml,isn't,cop~neg,he,pro:sub,E,/e,NOUN,6,84,Aran,2,isn't_E,2,2,0,1,1
5068,15313,Nina/020525.xml,does,v,she,pro:sub,have,v,NOUN,6,84,Nina,2,does_have,2,2,0,1,1
23509,1961,Eve/010700a.xml,get,v,your,det:poss,high,n,DET,4,25,Eve,0,get_high,0,0,0,1,1
3823,7863,Aran/020218.xml,shall,mod,we,pro:sub,try,v,NOUN,6,84,Aran,2,shall_try,2,2,0,1,1
18008,14836,Nina/020206.xml,does,mod,he,pro:sub,have,v,NOUN,6,84,Nina,2,does_have,2,2,0,1,1
1136,6051,Aran/020107.xml,blow,v,your,det:poss,nose,n,DET,4,25,Aran,0,blow_nose,0,0,0,1,1
15098,5836,Anne/011118.xml,S,/s,I,pro:sub,just,adv,NOUN,6,84,Anne,2,S_just,2,2,0,1,1
1005,7420,Nina/020106.xml,from,prep,your,det:poss,aunt,n,DET,4,25,Nina,0,from_aunt,0,0,0,1,1
23556,21725,Nina/020129.xml,have,v,your,det:poss,hand,n,DET,4,25,Nina,0,have_hand,0,2,0,0,1
7905,2464,Anne/020108.xml,in,prep,her,det:poss,dress,n,DET,4,25,Anne,0,in_dress,0,2,0,0,1
15242,15180,Anne/020400.xml,over,prep,them,pro:obj,don't,mod~neg,NOUN,6,72,Anne,1,over_don't,2,2,0,0,0
7854,4822,Anne/020412.xml,S,/s,I,pro:sub,tell,v,NOUN,6,84,Anne,2,S_tell,2,2,0,1,1
24358,24827,Aran/020427.xml,oh,co,I,pro:sub,think,v,NOUN,6,84,Aran,2,oh_think,2,2,0,1,1
4608,20210,Anne/020210.xml,are,cop,they,pro:sub,E,/e,NOUN,6,84,Anne,2,are_E,2,2,0,1,1
5435,19727,Naomi/020225.xml,time,n,they,pro:sub,would,mod,NOUN,6,84,Naomi,2,time_would,2,2,0,1,1
16312,8689,Nina/020526.xml,you're,pro:per~cop,my,det:poss,daughter,n,DET,4,25,Nina,0,you're_daughter,0,0,0,1,1
23843,10791,Nina/020418.xml,in,prep,your,det:poss,hair,n,DET,4,25,Nina,0,in_hair,0,0,0,1,1
10384,594,Eve/020000b.xml,weren't,cop~neg,they,pro:sub,E,/e,NOUN,6,84,Eve,2,weren't_E,2,2,0,1,1
3216,325,Eve/010700b.xml,then,adv:tem,I,pro:sub,won't,mod~neg,NOUN,6,84,Eve,2,then_won't,2,2,0,1,1
3092,14716,Nina/020212.xml,blow,v,your,det:poss,nose,n,DET,4,25,Nina,0,blow_nose,0,0,0,1,1
